# x [m], z [m], pressure [Pa], saturation [-], mCO2 [-], mH2O [-], rhoG [kg/m3], rhoL [kg/m3], tmCO2 [kg], temp [°C]
5.000e+00, 5.000e+00, 3.878e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
1.500e+01, 5.000e+00, 3.877e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.919e+02, 0.000e+00, 7.000e+01
2.500e+01, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
3.500e+01, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
4.500e+01, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
5.500e+01, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
6.500e+01, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
7.500e+01, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
8.500e+01, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
9.500e+01, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
1.050e+02, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
1.150e+02, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
1.250e+02, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
1.350e+02, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
1.450e+02, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
1.550e+02, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
1.650e+02, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
1.750e+02, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
1.850e+02, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
1.950e+02, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
2.050e+02, 5.000e+00, 3.876e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.919e+02, 0.000e+00, 7.000e+01
2.150e+02, 5.000e+00, 3.877e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.919e+02, 0.000e+00, 7.000e+01
2.250e+02, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
2.350e+02, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
2.450e+02, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
2.550e+02, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
2.650e+02, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
2.750e+02, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
2.850e+02, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
2.950e+02, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
3.050e+02, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
3.150e+02, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
3.250e+02, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
3.350e+02, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
3.450e+02, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
3.550e+02, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
3.650e+02, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
3.750e+02, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
3.850e+02, 5.000e+00, 3.879e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
3.950e+02, 5.000e+00, 3.877e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.919e+02, 0.000e+00, 7.000e+01
4.050e+02, 5.000e+00, 3.877e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
4.150e+02, 5.000e+00, 3.880e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
4.250e+02, 5.000e+00, 3.880e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
4.350e+02, 5.000e+00, 3.880e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
4.450e+02, 5.000e+00, 3.880e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
4.550e+02, 5.000e+00, 3.880e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
4.650e+02, 5.000e+00, 3.880e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
4.750e+02, 5.000e+00, 3.880e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
4.850e+02, 5.000e+00, 3.880e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
4.950e+02, 5.000e+00, 3.880e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
5.050e+02, 5.000e+00, 3.880e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
5.150e+02, 5.000e+00, 3.880e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
5.250e+02, 5.000e+00, 3.880e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
5.350e+02, 5.000e+00, 3.880e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
5.450e+02, 5.000e+00, 3.880e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
5.550e+02, 5.000e+00, 3.880e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
5.650e+02, 5.000e+00, 3.880e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
5.750e+02, 5.000e+00, 3.880e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.920e+02, 0.000e+00, 7.000e+01
