# x [m], z [m], pressure [Pa], saturation [-], mCO2 [-], mH2O [-], rhoG [kg/m3], rhoL [kg/m3], tmCO2 [kg], temp [°C]
5.000e+00, 5.000e+00, 3.668e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.912e+02, 0.000e+00, 7.000e+01
1.500e+01, 5.000e+00, 3.666e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.912e+02, 0.000e+00, 7.000e+01
2.500e+01, 5.000e+00, 3.668e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.912e+02, 0.000e+00, 7.000e+01
3.500e+01, 5.000e+00, 3.668e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.912e+02, 0.000e+00, 7.000e+01
4.500e+01, 5.000e+00, 3.668e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.912e+02, 0.000e+00, 7.000e+01
5.500e+01, 5.000e+00, 3.668e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.912e+02, 0.000e+00, 7.000e+01
6.500e+01, 5.000e+00, 3.668e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.912e+02, 0.000e+00, 7.000e+01
7.500e+01, 5.000e+00, 3.668e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.912e+02, 0.000e+00, 7.000e+01
8.500e+01, 5.000e+00, 3.668e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.912e+02, 0.000e+00, 7.000e+01
9.500e+01, 5.000e+00, 3.668e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.912e+02, 0.000e+00, 7.000e+01
1.050e+02, 5.000e+00, 3.668e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.912e+02, 0.000e+00, 7.000e+01
1.150e+02, 5.000e+00, 3.668e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.912e+02, 0.000e+00, 7.000e+01
1.250e+02, 5.000e+00, 3.668e+07, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 9.912e+02, 0.000e+00, 7.000e+01
